Pokemon Number,Pokemon Name,Pokemon Type 1,Pokemon Type 2,HP,Attack,Defense,Sp. Attack ,Sp. Defense,Speed,Base Stat Total,Experience Growth,Male %,Female %,Weight (kg),Height (meters),Generation ,Capture Rate,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,1250000,50,50,210,2.2,1,45,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
150,Mewtwo,Psychic,,106,110,90,154,90,130,680,1250000,0,0,122,2,1,3,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
151,Mew,Psychic,,100,100,100,100,100,100,600,1059860,0,0,4,0.4,1,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
152,Chikorita,Grass,,45,49,65,49,65,45,318,1059860,88.1,11.9,6.4,0.9,2,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
153,Bayleef,Grass,,60,62,80,63,80,60,405,1059860,88.1,11.9,15.8,1.2,2,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
154,Meganium,Grass,,80,82,100,83,100,80,525,1059860,88.1,11.9,100.5,1.8,2,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
155,Cyndaquil,Fire,,39,52,43,60,50,65,309,1059860,88.1,11.9,7.9,0.5,2,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
156,Quilava,Fire,,58,64,58,80,65,80,405,1059860,88.1,11.9,19,0.9,2,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
157,Typhlosion,Fire,,78,84,78,109,85,100,534,1059860,88.1,11.9,79.5,1.7,2,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
158,Totodile,Water,,50,65,64,44,48,43,314,1059860,88.1,11.9,9.5,0.6,2,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
159,Croconaw,Water,,65,80,80,59,63,58,405,1059860,88.1,11.9,25,1.1,2,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
160,Feraligatr,Water,,85,105,100,79,83,78,530,1059860,88.1,11.9,88.8,2.3,2,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
161,Sentret,Normal,,35,46,34,35,45,20,215,1000000,50,50,6,0.8,2,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
162,Furret,Normal,,85,76,64,45,55,90,415,1000000,50,50,32.5,1.8,2,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,1000000,50,50,21.2,0.7,2,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,1000000,50,50,40.8,1.6,2,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,800000,50,50,10.8,1,2,255,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,800000,50,50,35.6,1.4,2,90,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,800000,50,50,8.5,0.5,2,255,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,800000,50,50,33.5,1.1,2,90,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,1000000,50,50,75,1.8,2,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,1250000,50,50,12,0.5,2,190,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,1250000,50,50,22.5,1.2,2,75,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
172,Pichu,Electric,,20,40,15,35,35,60,205,1000000,50,50,2,0.3,2,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
173,Cleffa,Fairy,,50,25,28,45,55,15,218,800000,24.6,75.4,3,0.3,2,150,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,800000,24.6,75.4,1,0.3,2,170,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
175,Togepi,Fairy,,35,20,65,40,65,20,245,800000,88.1,11.9,1.5,0.3,2,190,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,800000,88.1,11.9,3.2,0.6,2,75,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,1000000,50,50,2,0.2,2,190,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,1000000,50,50,15,1.5,2,75,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
179,Mareep,Electric,,55,40,40,65,45,35,280,1059860,50,50,7.8,0.6,2,235,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
180,Flaaffy,Electric,,70,55,55,80,60,45,365,1059860,50,50,13.3,0.8,2,120,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
181,Ampharos,Electric,,90,75,85,115,90,55,510,1059860,50,50,61.5,1.4,2,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
182,Bellossom,Grass,,75,80,95,90,100,50,490,1059860,50,50,5.8,0.4,2,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
183,Marill,Water,Fairy,70,20,50,20,50,40,250,800000,50,50,8.5,0.4,2,190,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,800000,50,50,28.5,0.8,2,75,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
185,Sudowoodo,Rock,,70,100,115,30,65,30,410,1000000,50,50,38,1.2,2,65,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
186,Politoed,Water,,90,75,75,90,100,70,500,1059860,50,50,33.9,1.1,2,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,1059860,50,50,0.5,0.4,2,255,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,1059860,50,50,1,0.6,2,120,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,1059860,50,50,3,0.8,2,45,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
190,Aipom,Normal,,55,70,55,40,55,85,360,800000,50,50,11.5,0.8,2,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
191,Sunkern,Grass,,30,30,30,30,30,30,180,1059860,50,50,1.8,0.3,2,235,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
192,Sunflora,Grass,,75,75,55,105,85,30,425,1059860,50,50,8.5,0.8,2,120,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,1000000,50,50,38,1.2,2,75,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
194,Wooper,Water,Ground,55,45,45,25,25,15,210,1000000,50,50,8.5,0.4,2,255,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,1000000,50,50,75,1.4,2,90,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
196,Espeon,Psychic,,65,65,60,130,95,110,525,1000000,88.1,11.9,26.5,0.9,2,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
197,Umbreon,Dark,,95,65,110,60,130,65,525,1000000,88.1,11.9,27,1,2,45,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,1059860,50,50,2.1,0.5,2,30,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,1000000,50,50,79.5,2,2,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
200,Misdreavus,Ghost,,60,60,60,85,85,85,435,800000,50,50,1,0.7,2,45,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
201,Unown,Psychic,,48,72,48,72,48,48,336,1000000,0,0,5,0.5,2,225,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,1000000,50,50,28.5,1.3,2,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,1000000,50,50,41.5,1.5,2,60,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
204,Pineco,Bug,,50,65,90,35,35,15,290,1000000,50,50,7.2,0.6,2,190,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,1000000,50,50,125.8,1.2,2,75,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
206,Dunsparce,Normal,,100,70,70,65,65,45,415,1000000,50,50,14,1.5,2,190,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,1059860,50,50,64.8,1.1,2,60,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,1000000,50,50,400,9.2,2,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
209,Snubbull,Fairy,,60,80,50,40,40,30,300,800000,24.6,75.4,7.8,0.6,2,190,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
210,Granbull,Fairy,,90,120,75,60,60,45,450,800000,24.6,75.4,48.7,1.4,2,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,1000000,50,50,3.9,0.5,2,45,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,1000000,50,50,118,1.8,2,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,1059860,50,50,20.5,0.6,2,190,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,1250000,50,50,54,1.5,2,45,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,1059860,50,50,28,0.9,2,60,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
216,Teddiursa,Normal,,60,80,50,50,50,40,330,1000000,50,50,8.8,0.6,2,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
217,Ursaring,Normal,,90,130,75,75,75,55,500,1000000,50,50,125.8,1.8,2,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
218,Slugma,Fire,,40,40,40,70,40,20,250,1000000,50,50,35,0.7,2,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,1000000,50,50,55,0.8,2,75,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,1250000,50,50,6.5,0.4,2,225,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,1250000,50,50,55.8,1.1,2,75,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
222,Corsola,Water,Rock,65,55,95,65,95,35,410,800000,24.6,75.4,5,0.6,2,60,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
223,Remoraid,Water,,35,65,35,65,35,65,300,1000000,50,50,12,0.6,2,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
224,Octillery,Water,,75,105,75,105,75,45,480,1000000,50,50,28.5,0.9,2,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,800000,50,50,16,0.9,2,45,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
226,Mantine,Water,Flying,85,40,70,80,140,70,485,1250000,50,50,220,2.1,2,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,1250000,50,50,50.5,1.7,2,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,1250000,50,50,10.8,0.6,2,120,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,1250000,50,50,35,1.4,2,45,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,1000000,50,50,152,1.8,2,45,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
231,Phanpy,Ground,,90,60,60,40,40,40,330,1000000,50,50,33.5,0.5,2,120,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
232,Donphan,Ground,,90,120,120,60,60,50,500,1000000,50,50,120,1.1,2,60,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
233,Porygon2,Normal,,85,80,90,105,95,60,515,1000000,0,0,32.5,0.6,2,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
234,Stantler,Normal,,73,95,62,85,65,85,465,1250000,50,50,71.2,1.4,2,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
235,Smeargle,Normal,,55,20,35,20,45,75,250,800000,50,50,58,1.2,2,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
236,Tyrogue,Fighting,,35,35,35,35,35,35,210,1000000,100,0,21,0.7,2,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
237,Hitmontop,Fighting,,50,95,95,35,110,70,455,1000000,100,0,48,1.4,2,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,1000000,0,0,6,0.4,2,45,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
239,Elekid,Electric,,45,63,37,65,55,95,360,1000000,75.4,24.6,23.5,0.6,2,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
240,Magby,Fire,,45,75,37,70,55,83,365,1000000,75.4,24.6,21.4,0.7,2,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
241,Miltank,Normal,,95,80,105,40,70,100,490,1250000,0,0,75.5,1.2,2,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
242,Blissey,Normal,,255,10,10,75,135,55,540,800000,0,0,46.8,1.5,2,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
243,Raikou,Electric,,90,85,75,115,100,115,580,1250000,0,0,178,1.9,2,3,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
244,Entei,Fire,,115,115,85,90,75,100,580,1250000,0,0,198,2.1,2,3,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
245,Suicune,Water,,100,75,115,90,115,85,580,1250000,0,0,187,2,2,3,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300,1250000,50,50,72,0.6,2,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,1250000,50,50,152,1.2,2,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,1250000,50,50,202,2,2,45,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680,1250000,0,0,216,5.2,2,3,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,680,1250000,0,0,199,3.8,2,3,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,1059860,0,0,5,0.6,2,45,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
252,Treecko,Grass,,40,45,35,65,55,70,310,1059860,88.1,11.9,5,0.5,3,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
253,Grovyle,Grass,,50,65,45,85,65,95,405,1059860,88.1,11.9,21.6,0.9,3,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
254,Sceptile,Grass,,70,85,65,105,85,120,530,1059860,88.1,11.9,52.2,1.7,3,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
255,Torchic,Fire,,45,60,40,70,50,45,310,1059860,88.1,11.9,2.5,0.4,3,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,1059860,88.1,11.9,19.5,0.9,3,45,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,1059860,88.1,11.9,52,1.9,3,45,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
258,Mudkip,Water,,50,70,50,50,50,40,310,1059860,88.1,11.9,7.6,0.4,3,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,1059860,88.1,11.9,28,0.7,3,45,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
260,Swampert,Water,Ground,100,110,90,85,90,60,535,1059860,88.1,11.9,81.9,1.5,3,45,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
261,Poochyena,Dark,,35,55,35,30,30,35,220,1000000,50,50,13.6,0.5,3,255,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
262,Mightyena,Dark,,70,90,70,60,60,70,420,1000000,50,50,37,1,3,127,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
263,Zigzagoon,Normal,,38,30,41,30,41,60,240,1000000,50,50,17.5,0.4,3,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
264,Linoone,Normal,,78,70,61,50,61,100,420,1000000,50,50,32.5,0.5,3,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
265,Wurmple,Bug,,45,45,35,20,30,20,195,1000000,50,50,3.6,0.3,3,255,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
266,Silcoon,Bug,,50,35,55,25,25,15,205,1000000,50,50,10,0.6,3,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395,1000000,50,50,28.4,1,3,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
268,Cascoon,Bug,,50,35,55,25,25,15,205,1000000,50,50,11.5,0.7,3,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
269,Dustox,Bug,Poison,60,50,70,50,90,65,385,1000000,50,50,31.6,1.2,3,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
270,Lotad,Water,Grass,40,30,30,40,50,30,220,1059860,50,50,2.6,0.5,3,255,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
271,Lombre,Water,Grass,60,50,50,60,70,50,340,1059860,50,50,32.5,1.2,3,120,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,1059860,50,50,55,1.5,3,45,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
273,Seedot,Grass,,40,40,50,30,30,30,220,1059860,50,50,4,0.5,3,255,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,1059860,50,50,28,1,3,120,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,1059860,50,50,59.6,1.3,3,45,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
276,Taillow,Normal,Flying,40,55,30,30,30,85,270,1059860,50,50,2.3,0.3,3,200,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
277,Swellow,Normal,Flying,60,85,60,75,50,125,455,1059860,50,50,19.8,0.7,3,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
278,Wingull,Water,Flying,40,30,30,55,30,85,270,1000000,50,50,9.5,0.6,3,190,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
279,Pelipper,Water,Flying,60,50,100,95,70,65,440,1000000,50,50,28,1.2,3,45,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,1250000,50,50,6.6,0.4,3,235,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,1250000,50,50,20.2,0.8,3,120,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,1250000,50,50,48.4,1.6,3,45,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
283,Surskit,Bug,Water,40,30,32,50,52,65,269,1000000,50,50,1.7,0.5,3,200,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
284,Masquerain,Bug,Flying,70,60,62,100,82,80,454,1000000,50,50,3.6,0.8,3,75,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
285,Shroomish,Grass,,60,40,60,40,60,35,295,1640000,50,50,4.5,0.4,3,255,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460,1640000,50,50,39.2,1.2,3,90,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
287,Slakoth,Normal,,60,60,60,35,35,30,280,1250000,50,50,24,0.8,3,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
288,Vigoroth,Normal,,80,80,80,55,55,90,440,1250000,50,50,46.5,1.4,3,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
289,Slaking,Normal,,150,160,100,95,65,100,670,1250000,50,50,130.5,2,3,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
290,Nincada,Bug,Ground,31,45,90,30,30,40,266,600000,50,50,5.5,0.5,3,255,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,600000,50,50,12,0.8,3,120,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,600000,0,0,1.2,0.8,3,45,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1
293,Whismur,Normal,,64,51,23,51,23,28,240,1059860,50,50,16.3,0.6,3,190,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
294,Loudred,Normal,,84,71,43,71,43,48,360,1059860,50,50,40.5,1,3,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
295,Exploud,Normal,,104,91,63,91,73,68,490,1059860,50,50,84,1.5,3,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
296,Makuhita,Fighting,,72,60,30,20,30,25,237,1640000,75.4,24.6,86.4,1,3,180,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
297,Hariyama,Fighting,,144,120,60,40,60,50,474,1640000,75.4,24.6,253.8,2.3,3,200,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
298,Azurill,Normal,Fairy,50,20,40,20,40,20,190,800000,24.6,75.4,2,0.2,3,150,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
299,Nosepass,Rock,,30,45,135,45,90,30,375,1000000,50,50,97,1,3,255,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
